21三体综合症	trisomy
可哀	miserably
可嘉	laudable
可回收	recyclable
可塑性	plasticity
可压缩	compressible
可容忍	tolerable
可尊敬	respectable
可得到	available
可恨	hateful
可悲	lamentable
可恼	aggravating
可想像	conceivable
可虑	worrisome
可憎	disgusting
可懂度	intelligibility
可持续	sustainable
可接受性	acceptability
可擦写	erasable
可支付性	affordability
可敬	venerable
可望而不可及	unattainable
可乐饼	croquette
可比	comparable
可溶	soluble
可溶性	solubility
可燃	inflammable
可疑分子	suspect
可知论	gnosticism
可编程	programmable
可能性	possibility
可行性	feasibility
可裂变	fissionable
可视化	visualization
可视电话	videophone
可调	adjustable
可读性	readability
可变	variable
可逆性	reversibility
可靠	reliable
可靠性	reliability
可食	edible
台北	Taipei
台南	Tainan
台座	pedestal
台式	Taiwanese-style
台球	billiards
史册	annals
史学	historiography
史蒂文	Steven
史诗级	epic
右撇子	right-hander
右派分子	rightist
司兼导	driver-guide
司机	chauffeur
司法权	jurisdiction
司汤达	Stendhal
叻沙	laksa
吃播	mukbang
各人	everyone
各种	various
合情合理	fair
合宪性	constitutionality
合法性	legitimacy
合理	rational
合众银行	Bancorp
合股线	twine
合规	compliance
合适	suitable
合金	alloy
吉事果	churro
吉利	Geely
吉布提	Djibouti
吉尔吉斯斯坦	Kyrgyzstan
吉祥物	mascot
吉米	Jimmy
吊儿郎当	sloppy
吊床	hammock
吊绳	sling
同上	ditto
同事	colleague
同仁堂	Tongrentang
同伴	companion
同位	par
同位素	isotope
同型性	isomorphism
同型配子	isogamete
同性爱	homosexual
同时	simultaneously
同时代	contemporary
同步加速器	synchrotron
同源词	cognate
同班同学	classmate
同理	Tongli
同理心	empathy
同盟	alliance
同素异形体	allotropy
同义	synonymous
同义反复	tautology
同义词	synonym
同胞兄妹	sibling
同质	homogeneous
同轴	coaxial
同配生殖	isogamy
同音词	homophone
同类相食	cannibalism
名古屋	Nagoya
名媛	debutante
名宿	luminary
名义上	nominally
名录	directory
后羿	Houyi
吐根	ipecac
向何处	whither
向南	southward
向外	outward
向后	backward
向性	tropism
向东	eastwards
向西	westward
向西南	southwestward
君主制	monarchy
君士坦丁堡	Constantinople
吝啬	stingy
吝啬鬼	miser
吞吐量	throughput
否则	otherwise
否决票	veto
吧女	barmaid
含情脉脉	tender-hearted
含意	meaning
含水	watery
含水层	aquifer
含片	lozenge
含碳	carbonic
吰	clang
吱吱声	squeak
吴哥城	Ankorwat
吵杂	noisy
吸入剂	inhalant
吸入器	inhaler
吸气器	aspirator
吸睛	eye-catching
吸积	accretion
吸音	sound-absorbing
吹哨人	whistleblower
吹笛者	piper
吹管	blowpipe
吻部	snout
吼声	roar
吾	my
呀诺达	Yanoda
吕	pitchpipe
吕贝克	Lübeck
呆笨	dimwitted
呆头呆脑	oafish
告示	announcement
告解	confession
呢喃细语	murmuring
呧	vex
周围	environs
周径	girth
周庄	Zhouzhuang
周边商品	merch
味之素	Ajinomoto
味儿	taste
味醂	mirin
呷呷	honk
呼叫声	whoop
呼吸管	snorkel
呼呼声	whir
命名法	nomenclature
命相	horoscope
咈	oppose
和善	good-natured
和平主义	pacifism
和服	kimono
和洽	harmonious
和牛	wagyu
和田市	Hotan
咖啡师	barista
咚咚	Dongdong
咯吱	groan
咯咯笑	chuckle
咳	cough
咷	wail
咹	eh?
咽喉	throat
咽炎	pharyngitis
咽头	pharynx
哀失	bereavement
哀艳	poignant
品目	item
品红	magenta
品级	workmanship
品达	Pindar
哆啦A梦	Doraemon
哈佛	Harvard
哈利	Harry
哈博罗内	Gaborone
哈啰出行	Hellobike
哈奴曼	Hanuman
哈巴罗夫斯克	Khabarovsk
哈恩	Jaén
哈拉雷	Harare
哈日	Japanophile
哈普西科德	harpsichord
哈根达斯	Häagen-Dazs
哈梅内伊	Khamenei
哈欠	yawn
哈特福德	Hartford
哈瓦那	Havana
哈罗德	Harold
哈萨克斯坦	Kazakhstan
哈迪斯	Hades
哈里斯堡	Harrisburg
哈里发国	caliphate
哈灵根	Harlingen
哈马黑拉岛	Halmahera
哐	bang
哐啷	clatter
员工	staff
员警	policeman
哤	jargon
哥斯拉	Godzilla
哥特式	gothic
哨兵	sentinel
哩	mile
哪一个	which
哪吒	Nezha
哮喘	asthma
哮鸣	wheezing
哲学	philosophy
哲学家	philosopher
哺乳动物	mammal
哺乳纲	Mammalia
哺乳类动物	mammals
哼唧	whisper
哼声	hum
唇	lip
唇形科	Labiatae
唐狗	mongrel
唯	yes
唯一性	uniqueness
唯物	materialistic
唯物主义	materialism
唯象	phenomenological
唱名	solfege
唱机	gramophone
唱碟	LP
唱词	libretto
唱诗班	choir
唾沫星子	sputter
唿喇	whoosh
啄木鸟	woodpecker
啅	chirp
商品化	commodification
商汤科技	SenseTime
商队	caravan
启动子	promoter
启发式	heuristic
启示者	revelator
啤	beer
啤酒厂	brewery
啦啦队长	cheerleader
喀土穆	Khartoum
喀山	Kazan
喀布尔	Kabul
喀尔喀	Khalkha
善感	sensitive
喇叭形	flared
喇叭水仙	daffodil
喇嘛	lama
喉炎	laryngitis
喉镜	laryngoscope
喊话器	megaphone
喜人	pleasing
喜乐	joy
喜气洋洋	jubilation
喜兴	joyous
喜马拉雅山	Himalayas
喦	talkative
丧尸	zombie
丧心病狂	demented
丧气	unlucky
丧钟	knell
乔治敦	Georgetown
单元房	apartment
单丛	Dancong
单向	unidirectional
单峰驼	dromedary
单方面	unilateral
单晶	monocrystalline
单核细胞增多症	mononucleosis
单糖	monosaccharide
单细胞	unicellular
单翼飞机	monoplane
单脚滑行车	scooter
单语	monolingual
单调	monotonous
单身汉	bachelor
单车族	cyclist
单轨	monorail
单轮车	unicycle
单边主义	unilateralism
单铬	monochrome
单项	single-item
嗓音	voice
嗜好	hobby
嗜杀成性	bloodthirsty
嗞啦	sizzle
嗯哼	uh-huh
嘁嘁喳喳	chattering
嘉士伯	Carlsberg
嘉义	Chiayi
呕	vomit
呕出物	vomitus
叽	grumble
嘴巴子	slap
嘴牢	tight-lipped
嘴笨	inarticulate
嘴松	loose-tongued
嘿	hey
器具	implement
器官	apparatus
噩	startling
噩梦	nightmare
噪声	noise
噬菌体	bacteriophage
噭	shout
喷嚏	sneeze
喷嚏剂	sternutator
喷气式	jet-propelled
喷泉	fountain
喷火器	flamethrower
喷灯	blowtorch
喷雾器	sprayer
噶玛兰族	Kavalan
吨数	tonnage
当啷	clanging
哜	sip
啮齿动物	rodent
严密	tight
严重性	seriousness
嚼劲	chewiness
嚼蜡	insipid
冁	smilingly
囊泡	vesicle
囊空如洗	broke
啮齿类	rodents
囔	muttering
囗	enclosure
囚犯	prisoner
四分之一	one-quarter
四月份	April
四氢大麻酚	Tetrahydrocannabinol
四氯乙烯	tetrachloroethylene
四环素	tetracycline
四角形	quadrilateral
四轮马车	chariot
四部曲	tetralogy
四面体	tetrahedron
回执单	receipt
回忆录	memoir
回文	palindrome
回旋曲	rondo
回冲	backwash
回声	echo
回声定位	echolocation
因式分解	factorization
因斯布鲁克	Innsbruck
因此	thus
因纽特	Inuit
囮	decoy
困窘	embarrassment
固体	solid
固体食物	solids
圈	pen
圈内人	insider
圈套	trap
圈状物	hoop
国内生产毛额	GDP
国君	monarch
国子监	Guozijian
国度	country
国会大厦	capitol
国有化	nationalization
国民生产毛额	GNP
国王	king
国籍	nationality
国美	GOME
国际	international
国际主义	internationalism
国际文传电讯社	Interfax
围兜	bib
围产	perinatal
围裙	apron
园丁	gardener
园囿	park
园林	gardens
圆周	circumference
圆圈	circle
圆形剧场	amphitheater
圆形木材	log
圆括号	parentheses
圆明园	Yuanmingyuan
圆柱形	cylindrical
圆滚滚	plump
圆满	satisfactory
圆珠	bead
圆盘	disk
圆舞曲	waltz
圆角	fillet
圆锥体	cone
圆顶	dome
圆点	dot
图像	image
图坦卡蒙	Tutankhamen
图恩	Thun
图书管理员	librarian
图案	design
图波列夫	Tupolev
图片报	Bild-Zeitung
图瓦	Tuva
图西族	Tutsi
图钉	thumbtack
图录	catalog
团队	team
𪢮	round
土匪	bandit
土器	earthenware
土堆	mound
土壤	soil
土库曼斯坦	Turkmenistan
土得掉渣	uncouth
土方工程	earthwork
土耳其	Turkey
土著	aboriginal
土豆网	Tudou
在下面	underneath
在地下	underground
在后	behind
在户外	outdoors
在深处	deeply
圩	dike
圭亚那	Guyana
地下水	groundwater
地下通道	underpass
地下铁路	subway
地图册	atlas
地塞米松	dexamethasone
地心吸力	gravitation
地拉那	Tirana
地标	landmark
地壳运动	diastrophism
地滑	landslide
地球化学	geochemistry
地球物理学	geophysics
地理学	geography
地理学家	geographer
地理定位	geolocation
地窨	cellar
地籍	cadaster
地缘战略	geostrategic
地缘政治学	geopolitics
地衣	lichen
地貌	geomorphology
地质学	geology
地质学家	geologist
地震	earthquake
地震仪	seismometer
均等	equal
均变论	uniformitarianism
坎儿井	karez
坎帕拉	Kampala
坎昆	Cancún
坎特伯雷	Canterbury
坐骨	ischium
坐骨神经痛	sciatica
坑坑洼洼	bumpy
坡道	ramp
坦桑尼亚	Tanzania
坦率	frank
坩埚	crucible
垂死	dying
垂直	perpendicular
垂钓	angling
垃圾筒	trashcan
型板	template
垛口	crenel
垝	collapsed
埃及	Egypt
埃及古物学	Egyptology
埃及古物学者	Egyptologist
埃及豆	chickpea
埃塞俄比亚	Ethiopia
埃奥罗斯	Aeolus
埃德蒙顿	Edmonton
埃拉特	Eilat
埃叙	Egypt-Syria
埃文河畔斯特拉特福	Stratford-upon-Avon
埃涅阿斯	Aeneas
埃米尔	amir
城址	townsite
城市化	urbanization
城里人	townspeople
域名抢注	cybersquatting
执照	license
埸	border
基因型	genotype
基因学	genetics
基因改造	GM
基因组	genome
基地	al-Qaeda
基地组织	Al-Qaeda
基多	Quito
基岩	bedrock
基布兹	kibbutz
基底	plinth
基拉韦厄	Kilauea
基材	substrate
基督徒	Christian
基础结构	infrastructure
基金	fund
坚不可摧	indestructible
坚固性	firmness
坚强不屈	steadfast
坚忍不拔	fortitude
坚果	nut
坚若磐石	rock-solid
坚贞不渝	unwavering
堆肥	compost
堆高机	forklift
堞	battlements
堡垒	fort
堧	adjoin
堪萨斯	Kansas
堪舆	geomancy
堰	weir
报告文学	reportage
报复心	vindictiveness
报复性	retaliatory
报应	karma
报摊	newsstand
报料人	informant
报章	newspapers
报童	paperboy
堲	hate
场景	scene
块状	lump
塑化剂	plasticizer
塔什干	Tashkent
塔吉克斯坦	Tajikistan
塔夫绸	taffeta
塔帕斯	tapas
塔拉哈西	Tallahassee
塔拉瓦	Tarawa
塔木德经	Talmud
塔林	Tallinn
涂料	paint
涂油于	anoint
塞内加尔	Senegal
塞浦路斯	Cyprus
塞尔特	Celtic
塞瓦斯托波尔	Sevastopol
塞纳河	Seine
塞维利亚	Seville
填充物	filler
填地	landfill
填塞物	stuffing
填字游戏	crossword
尘肺	pneumoconiosis
堑	chasm
堑壕	trench
境地	circumstances
境遇	circumstance
垫子	cushion
垫被	mattress
墓园	cemetery
墓场	graveyard
墓石	tombstone
墓窖	catacomb
墓志铭	epitaph
增强现实	AR
增稠剂	thickener
增量	increment
墨水瓶架	inkstand
墨尔本	Melbourne
墨西哥	Mexico
墨西哥人	Mexican
墨西哥辣椒	jalapeño
墨西拿	Messina
墨鱼	cuttlefish
墺	building-plot
壁架	ledge
壁炉	fireplace
壁纸	wallpaper
壁虎	gecko
压力	pressure
压根	absolutely
压缩	compression
压缩器	compressor
压电体	piezo-electric
垒固	Loi-kaw
垒球	softball
坏死	necrosis
坏血病	scurvy
士气	morale
壮美	magnificent
壶铃	kettlebell
寿司	sushi
寿喜烧	sukiyaki
夏	summer
夏利	Xiali
夏商周	Xia
夏士莲	Hazeline
夏威夷	Hawaii
夏延	Cheyenne
夏日	summertime
夏洛特敦	Charlottetown
夏尔巴人	Sherpa
外交官	diplomat
外来词	loanword
外分泌	exocrine
外包	outsourcing
外国人	foreigner
外围	surrounding
外星人	extraterrestrial
外源	exogenous
外用	external
外科手术	surgery
外袍	robe
外设	peripherals
外貌主义	lookism
外邦人	gentile
外阴	vulva
外头	outside
外显	visible
多佛	Dover
多伦多	Toronto
多侧面	many-sided
多元性	diversity
多元文化主义	multiculturalism
多元论	pluralism
多哥	Togo
多国	multinational
多媒体	multimedia
多孔	porous
多字节	multibyte
多寡	number
多山	mountainous
多工作业	multitasking
多工器	multiplexer
多工运作	multithreading
多巴胺	dopamine
多态	polymorphism
多才多艺	multitalented
多数	majority
多星	starry
多晶	polycrystalline
多模	multimode
多样性	variegation
多民族	multiethnic
多水分	juicy
多瑙河	Danube
多用户	multiuser
多用途	multipurpose
多疑	mistrustful
多神论	polytheism
多神论者	polytheist
多种	multiple
多种维生素	multivitamin
多站	multistation
多米诺骨牌	dominoes
多糖	polysaccharide
多细胞	multicellular
多义性	equivocality
多肉	fleshy
多肽	polypeptide
多胞形	polytope
多叶	leafy
多语言	multilingual
多边	multilateral
多边形	polygon
多邻国	Duolingo
多重性	multiplicity
多面手	all-rounder
多面体	polyhedron
多音	polyphony
多项式	multinomial
多党	multiparty
夜	night
夜幕降临	nightfall
夜店	nightclub
夜景	nightscape
夜行性	nocturnality
夜莺	nightingale
梦境	dreamland
梦景	dreamscape
梦核	dreamcore
大使级	ambassadorial
大便干燥	constipated
大修	overhaul
大元帅	generalissimo
大力	energetically
大卡	kilocalorie
大吃一惊	flabbergasted
大吉岭	Darjeeling
大喜	exultation
大嘴鸟	toucan
大地水准面	geoid
大地洞	cavern
大地测量学	geodesy
大城市	metropolis
大堂	lobby
大墓地	necropolis
大坝	dam
大大咧咧	offhand
大寨	Dazhai
大屠杀	massacre
大山	Dashan
大幅度	substantially
大厅	hall
大恭	feces
大拇指	thumb
大括号	braces
大提琴手	cellist
大数	Tarsus
大日如来	Vairocana
大昭寺	Jokhang
大会报告起草人	rapporteur
大比目鱼	halibut
大气圈	atmosphere
大洋洲	Oceania
大洋龙	halisaurus
大洲	continent
大浦洞	Taepodong
大漠	desert
大灯	headlight
大猩猩	gorilla
大疆	DJI
大发	Daihatsu
大盘子	platter
大众汽车	Volkswagen
大范围	large-scale
大能	almighty
大脚怪	bigfoot
大腿	thigh
大致	roughly
大兴区	Daxing
大茴香子	aniseed
大菱鲆	turbot
大虫	tiger
大豆	soybean
大辟	decapitation
大农场	ranch
大部	most
大都	Dadu
大釜	cauldron
大锤	sledgehammer
大错	blunder
大镰刀	scythe
大阪	Osaka
大陆性	continental
大马士革	Damascus
大鹿	moose
大麦	barley
天主教	Catholicism
天使	angel
天刚亮	daybreak
天问一号	Tianwen-1
天坑	sinkhole
天寒地冻	frigid
天敌	predator
天文学	astronomy
天文学家	astronomer
天文馆	planetarium
天枢	Dubhe
天权	Megrez
天气	weather
天璇	Merak
天玑	Phecda
天空	sky
天竺牡丹	dahlia
天线宝宝	Teletubbies
天台	rooftop
天课	zakat
天门冬科	Asparagaceae
天顶	zenith
天体演化学	cosmogony
天体物理	astrophysics
天体物理学家	astrophysicist
天鹅	swan
太古	immemorial
太妃糖	taffy
太婆	great-grandmother
太子港	Port-au-Prince
太子党	princelings
太空行走	spacewalk
太长不看	DR
太阳灯	sunlamp
太阳镜	sunglasses
太阳雨	sunshower
太阳黑子	sunspot
太鲁阁族	Taroko
夫余	Pu'yo
夬	decisive
失修	disrepair
失坠	loss
失败主义	defeatism
失败者	loser
失温症	hypothermia
失物招领	lost-and-found
失读症	alexia
失身分	demeaning
失重	weightlessness
夹钳	tongs
夹头	chuck
奇事	marvel
奇卡诺人	Chicano
奇才	genius
奇瓦瓦	Chihuahua
奇观	spectacle
奇迹	miracle
奈良	Nara
奉承者	flatterer
奉献精神	dedication
奎星	Kuixing
奏鸣曲	sonata
契卡	Cheka
契据	deed
奔驰	Mercedes-Benz
套利	arbitrage
套利者	arbitrager
套钟	chime
套鞋	overshoes
奠基石	cornerstone
奢靡	extravagant
奥地利	Austria
奥德修斯	Odysseus
奥托	Otto
奥斯瓦尔德	Oswald
奥斯陆	Oslo
奥林匹克	Olympic
奥林巴斯	Olympus
奥氏体	austenitic
奥波莱	Opole
奥尔巴尼	Albany
奥尔良	Orléans
奥特曼	Ultraman
奥胡斯	Aarhus
奥腊涅斯塔德	Oranjestad
奥兰多	Orlando
奥迪	Audi
奥里里亚	Aurelia
奥马哈	Omaha
奥黛丽	Audrey
奋起湖	Fenchihu
女人	woman
女修道院	convent
女仆	maid
女傧相	bridesmaid
女儿	daughter
女巫	witch
女房东	landlady
女朋友	girlfriend
女权主义	feminism
女武神	valkyrie
女王	queen
女管家	housekeeper
女继承人	inheritress
女舍监	matron
女警	policewoman
女高音	soprano
奴性	servility
奴隶	slave
奴隶制	slavery
奶汁烤	gratin
奶油果	avocado
奶站	dairy
奶酪火锅	fondue
奸商	profiteer
她	she
好事之徒	busybody
好吃	tasty
好好	well
好战	warlike
好氧	aerobic
好笑	laughable
如今	nowadays
如来佛	Tathagata
如此	so
如火	fiery
如画	picturesque
如痴如醉	mesmerized
如花	flowery
如草	grassy
妄自尊大	arrogance
妓女	prostitute
妖媚	seductive
妖孽	evildoer
妖物	monster
妖术	sorcery
妖魔	demon
妙笔	talented
妙语	witticism
妯娌	sisters-in-law
妻子	wife
姅	menstruation
姆巴巴内	Mbabane
始祖鸟	Archaeopteryx
姗姗	leisurely
姑父	uncle
委内瑞拉	Venezuela
委员会	committee
奸情	adultery
侄女	niece
侄子	nephew
侄孙	grandnephew
姻亲	in-laws
威廉斯堡	Williamsburg
威望	prestige
威尔士	Wales
娓娓	engagingly
娘胎	womb
婆罗门	Brahmin
婉词	euphemism
婚外	extramarital
婚嫁	marriage
婚神星	Juno
婞	upright
妇科	gynecology
婼	recalcitrant
媒妁	go-between
媒婆	matchmaker
媒体	media
媚词	flattery
媢	envious
妈妈桑	madam
妈祖	Matsu
嫁妆	dowry
嫂子	sister-in-law
嫌恨	hatred
嫚	insult
嫩主	newbie
娴淑	ladylike
娇美	dainty
婴儿期	infancy
婴孩	infant
婴幼儿	baby
婴猴	galago
娈童恋	pederasty
子午线	meridian
子品牌	sub-brand
子囊菌	ascomycete
子女	children
子宫托	pessary
子层	sublayer
子模型	submodel
子爵	viscount
子癫前症	pre-eclampsia
子程序	subroutine
子粒	seed
子系统	subsystem
子网	subnetwork
子集	subset
孑孓	wiggler
孔丘	Confucius
孔方兄	coll.
孔雀	peafowl
孕	pregnant
孕期	pregnancy
孕激素	progesterone
字图	glyph
字幕	subtitles
字汇	Zihui
字林	Zilin
字母表	alphabet
字眼	wording
字节跳动	ByteDance
字素	grapheme
字首	prefix
存在主义	existentialism
存根	stub
存量	reserves
孜孜矻矻	diligently
孜然芹	cumin
孟加拉国	Bangladesh
孢子	spore
季候	season
季节性	seasonal
季风	monsoon
季黎诺	Quirinius
孤儿	orphan
孤绝	isolated
孱	feeble
学位论文	dissertation
学前班	preschool
学友	schoolmate
学究	pedant
学童	schoolchild
学者	scholar
𡥧	last
它	it
它本身	itself
宅子	house
宇宙	universe
宇宙学	cosmology
宇宙号	Kosmos
宇宙飞船	spaceship
宇航员	astronaut
宇航服	spacesuit
守时	punctual
守望台	watchtower
守军	defenders
守门人	gatekeeper
守门员	goalkeeper
安保	security
安卡拉	Ankara
安吉星	OnStar
安哥拉	Angola
安圭拉	Anguilla
安定化	stabilization
安宁片	meprobamate
安息国	Parthia
安息日	Sabbath
安息香科	Styracaceae
安慰剂	placebo
安提瓜岛	Antigua
安曼	Amman
安格斯	Angus
安乐死	euthanasia
安稳	steady
安联	Allianz
安详	serene
安道尔	Andorra
安养院	hospice
完备性	completeness
完完全全	completely
完美	perfect
完美主义者	perfectionist
宏碁	Acer
宏观经济	macroeconomic
宏观经济学	macroeconomics
宏观调控	macro-control
宗主权	suzerainty
宗教	religion
宗派	sect
宗派主义	sectarianism
官僚主义	bureaucracy
官办	government-run
宙斯	Zeus
定型水	hairspray
定居者	settler
定居点	settlement
定州市	Dingzhou
定标器	scaler
定殖	colonization
定洋	deposit
定理	theorem
定当	necessarily
定音鼓	timpani
宜人	nice
宜家	IKEA
宜居	livable
客户	client
客观性	objectivity
宣武门	Xuanwumen
宣礼塔	minaret
宣誓供词证明	deposition
室内	indoor
室友	roommate
宫阙	palace
宫颈	cervix
宴席	banquet
家庭主夫	househusband
家庭主妇	housewife
家庭作业	homework
家政	housekeeping
家乐福	Carrefour
家里	home
宿	constellation
宿醉	hangover
宿雾	Cebu
寁	swift
寂静	quiet
寄件人	sender
寄宿生	boarder
寄生物	parasite
密克罗尼西亚	Micronesia
密宗	tantra
密文	ciphertext
密歇根	Michigan
密特朗	Mitterrand
密码学	cryptography
密致	compact
密苏里	Missouri
密西西比	Mississippi
密集恐惧症	trypophobia
密云区	Miyun
富士通	Fujitsu
富于想像	imaginative
富纳富提	Funafuti
富良野	Furano
富色彩	colorful
富裕	prosperous
寒战	shiver
寓所	dwelling
寡妇	widow
寡糖	oligosaccharide
寡头	oligarch
寡头垄断	oligopoly
寡头政治	oligarchy
寤寐	constantly
实力	strength
实力主义	meritocracy
实地	on-site
实打实	no-nonsense
实施例	embodiment
实业家	industrialist
实用主义	pragmatism
实际参数	argument
实际性	practicality
审慎	prudent
审计长	auditor
宽宏	magnanimous
宽宏大量	generous
宽屏	widescreen
宽带	broadband
宽度	width
宝可梦	Pokémon
宝塔	pagoda
宝宝	darling
宝丽来	Polaroid
封建主义	feudalism
封条	seal
封斋节	Lent
射击学	ballistics
射线	ray
射门	soccer
将官	general
将军肚	potbelly
专事	specialized
专家	expert
专属	proprietary
专案	project
专业化	specialization
专科院校	academy
专门家	specialist
寻回犬	retriever
寻常	usual
寻水术	dowsing
对句	couplet
对抗性	antagonistic
对数	logarithm
对于	regarding
对案	counterproposal
对氨基苯丙酮	p-aminopropiophenone
对流	convection
对称性	symmetry
对讲电话	intercom
对证	confrontation
对跖点	antipode
导论	introduction
导轨	slideway
小丑	clown
小便池	urinal
小偷	thief
小儿经	Xiao'erjing
小儿麻痹病毒	poliovirus
小包	packet
小吃	snack
小型核武器	mini-nuke
小型柜橱	cabinet
小夜曲	serenade
小孩堤防	Kinderdijk
小孩子	child
小写	lowercase
小岩洞	grotto
小岛	isle
小巴	minibus
小巷	alley
小年轻	youngster
小扁豆	lentil
小打小闹	small-scale
小提琴手	violinist
小支气管	bronchiole
小斑点	speckle
小松菜	komatsuna
小树林	grove
小步舞曲	minuet
小毛虫	slug
小河	creek
小泡	vesicles
小清新	hipster
小瀑布	cascade
小牛肉	veal
小牝牛	heifer
小狗	pup
小百科全书	micropedia
小碟子	saucer
小米	Xiaomi
小米辣	xiaomila
小精灵	elf
小组委员会	subcommittee
小考	quiz
小舌	uvula
小船	boat
小袋	pouch
小计	subtotal
小说家	novelist
小谎	fib
小猫	kitten
小起重机	jack
小路	lane
小辫	pigtail
小酒馆	bistro
小鸡	chick
小额融资	microfinance
小松糕	muffin
小鹅	gosling
小黄瓜	gherkin
少女峰	Jungfrau
尖牙	fang
尖声啼哭	squeal
尤其	especially
尤文图斯	Juventus
尰	swell
就职典礼	inauguration
尴尬	awkward
尻	rump
尼亚美	Niamey
尼加拉瓜	Nicaragua
尼哥底母	Nicodemus
尼布甲尼撒	Nebuchadnezzar
尼散月	Nisan
尼日利亚	Nigeria
尼桑	Nissan
尼泊尔	Nepal
尼雅	Niya
尾气	exhaust
尾注	endnote
尾韵	rhyme
尿布	diaper
尿液	urine
局外中立	neutralism
屁话	bullshit
居住者	inhabitant
居所	residence
居民	resident
屈伦博赫	Culemborg
屈光度	diopter
屈膝礼	curtsy
屋顶	roof
尸检	autopsy
尸体	corpse
屏幕保护程序	screensaver
屏障	barrier
屐	clogs
屠户	butcher
屡加	ply
屡劝不听	incorrigible
层压	lamination
层子	stratum
层次分明	layered
层理	stratification
屦	sandals
属吏	underling
山丘	hill
山坡	hillside
山坞	nook
山崖	cliff
山巅	summit
山水	Sansui
山沟沟	backwoods
山墙	gable
山竹	mangosteen
山羊绒	cashmere
山羊胡子	goatee
山茶	camellia
山葵	wasabi
山贼	brigand
山达基	Scientology
山雀	tit
山青水灵	scenic
山顶	hilltop
山麓	foothills
冈比亚	Gambia
岩仓	Iwakura
岩沙海葵毒素	palytoxin
岩石	rock
岩羊	bharal
岸边	shore
岛屿	island
岛民	islander
峡	gorge
峡湾	fjord
崇拜者	worshipper
崇祯	Chongzhen
昆士兰	Queensland
屿	islet
巉	rugged
川滇藏	Sichuan
州立	state-run
巢	nest
工位	workstation
工作流	workflow
工作狂	workaholic
工作者	worker
工作表	worksheet
工作过度	overwork
工作量	workload
工具箱	toolbox
工坊	workshop
工时	man-hour
工程学	engineering
工笔	gongbi
工头	foreman
左口鱼	flounder
左右共利	ambidextrous
左撇子	left-hander
左氧氟沙星	levofloxacin
左至右	left-to-right
左轮手枪	revolver
巨乳	busty
巨噬细胞	macrophage
巨大	huge
巨石	boulder
巨石柱群	Stonehenge
巫术	witchcraft
差别	difference
差误	mistake
巯	hydrosulfuryl
已婚	married
已成形	preformed
已经	already
巴伐利亚	Bavaria
巴伦西亚	Valencia
巴克特里亚	Bactria
巴利文	Pali
巴力	Baal
巴勒斯坦	Palestine
巴勒莫	Palermo
巴基斯坦	Pakistan
巴塞尔	Basel
巴塞罗那	Barcelona
巴宰族	Pazeh
巴库	Baku
巴拉克	Barack
巴拉圭	Paraguay
巴拿马	Panama
巴斯特尔	Basseterre
巴林	Bahrain
巴枯宁主义	Bakuninism
巴格达	Baghdad
巴比伦	Babylon
巴氏	Pasteur
巴氏杀菌	pasteurization
巴乌	bawu
巴尔多禄茂	Bartholomew
巴尔干	Balkan
巴特纳	Batna
巴西	Brazil
巴西利亚	Brasilia
巴西战舞	capoeira
巴阿	Pakistan-Afghan
巴马科	Bamako
巴黎	Paris
市场化	marketization
市场营销	marketing
市长	mayor
布列塔尼	Brittany
布加勒斯特	Bucharest
布希威克	Bushwick
布干维尔	Bougainville
布拉德福德	Bradford
布拉格	Prague
布拉索夫	Braşov
布拉迪斯拉发	Bratislava
布料	fabric
布林迪西	Brindisi
布法罗	Buffalo
布洛芬	ibuprofen
布洒器	disperser
布尔什维克	Bolshevik
布尔乔亚	bourgeoisie
布尔诺	Brno
布痕瓦尔德	Buchenwald
布谷	cuckoo
布线	wiring
布莱克本	Blackburn
布莱顿	Brighton
布农族	Bunun
布达佩斯	Budapest
布达拉宫	Potala
布里斯托	Bristol
布里斯班	Brisbane
布里特妮	Britney
布隆方丹	Bloemfontein
布隆迪	Burundi
布鲁克林	Brooklyn
布鲁塞尔	Brussels
布鲁姆斯伯里	Bloomsbury
帆船	sailboat
希伯来	Hebrew
希尔弗瑟姆	Hilversum
希腊	Greece
帔	cape
帕利基尔	Palikir
帕尼巴特	Panipat
帕提亚人	Parthian
帕斯	Perth
帕皮提	Papeete
帕福斯	Paphos
帖撒罗尼迦	Thessalonica
帛	silk
帝	emperor
帝力	Dili
帝国主义	imperialism
帨	handkerchief
席凡宁根	Scheveningen
帐帘	drapery
带宽	bandwidth
带感	electrifying
带红色	reddish
带扣	buckle
常常	frequently
常春藤	ivy
常青	evergreen
帽匠	milliner
币种	currency
帮手	helper
幯	wipe
干系	responsibility
干扰素	interferon
平均主义	egalitarianism
平壤	Pyongyang
平常日	weekday
平流层	stratosphere
平白无故	inexplicably
平胸	flat-chested
平行四边形	parallelogram
平衡觉	equilibrioception
平谷区	Pinggu
平锅	pan
平顺	Pingshun
年少无知	unsophisticated
年年	yearly
年载	years
年轻	young
年青	youthful
幵	level
幻	fantasy
幻象	illusion
幼兽	cub
幼虫	larva
幽暗	gloom
幽闭恐惧症	claustrophobia
几丁质	chitin
几乎	almost
几何学	geometry
几内亚比绍	Guinea-Bissau
几进宫	recidivist
庇护所	shelter
床罩	bedspread
床虱	bedbug
床边	bedside
床铺	bed
序列	sequence
序幕	prologue
序曲	overture
